City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
158,Dingle,PH,74.91,10.9995,122.6711,SEGAYA PROPERTY
162,Najran,SA,70.45,17.4924,44.1277,محمد هادي ال فطيح
164,Dwarka,IN,80.53,22.2394,68.9678,Hotel Narayan Avezika Comfort
166,Vila Velha,BR,71.55,-20.3297,-40.2925,Quality Suites Vila Velha
170,Alexandria,EG,73.36,31.2156,29.9553,Royal Crown Hotel
171,Sabha,LY,71.1,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
174,Nsanje,MW,75.38,-16.92,35.262,Nsanje Discovery Lodge
177,Mahebourg,MU,71.89,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
179,Caravelas,BR,75.99,-17.7125,-39.2481,Pousada dos Navegantes
187,Alofi,NU,78.69,-19.0595,-169.9187,Taloa Heights
190,Wanning,CN,76.12,18.8003,110.3967,Paradise Hotel
191,Cukai,MY,73.35,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
197,Cascais,PT,70.5,38.6979,-9.4215,Hotel Vila Galé Cascais
198,Acari,PE,79.5,-15.4311,-74.6158,HOSPEDAJE XIMENA
203,Bogale,MM,75.76,16.2833,95.4,Aung Pin Lel Guest House
213,Mabaruma,GY,82.31,8.2,-59.7833,Monty Brooms Guest House
214,General Roca,AR,71.62,-39.0333,-67.5833,Hotel y Casino del Río General Roca
215,Monrovia,LR,76.77,6.3005,-10.7969,Sunset Inn
221,Lazaro Cardenas,MX,83.84,17.9583,-102.2,quinta antigua
223,Isangel,VU,77.4,-19.55,169.2667,Tanna Lodge
229,Saint-Philippe,RE,71.15,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
231,Touros,BR,83.3,-5.1989,-35.4608,INN NEW HORIZON
234,Pemba,MZ,79.5,-12.974,40.5178,Guesthouse Samotina
235,San Patricio,US,86.09,28.017,-97.5169,"Motel 6 Sinton, TX"
239,Victoria,HK,75.33,22.2855,114.1577,Mini Hotel Central
242,Kisangani,CD,71.24,0.5167,25.2,Grand Ramela Hotel
243,Vanimo,PG,77.29,-2.6741,141.3028,Vahmoneh Lodge Vanimo
244,San Rafael,AR,75.27,-34.6177,-68.3301,Hotel San Rafael
245,Buraydah,SA,75.65,26.326,43.975,فندق راحة السلام
246,Bandarbeyla,SO,79.09,9.4942,50.8122,JABIR HOTEL
247,Kudahuvadhoo,MV,82.2,2.6708,72.8944,Niyama Private Islands Maldives
248,Vila Franca Do Campo,PT,73.2,37.7167,-25.4333,Pestana Bahia Praia
249,Tecolutla,MX,80.26,20.4833,-97.0167,Hotel Plaza Marsol
250,Cockburn Town,TC,84.16,21.4612,-71.1419,Osprey Beach Hotel
251,Ribeira Grande,PT,70.2,38.5167,-28.7,Quinta da Meia Eira
254,Mossoro,BR,84.15,-5.1875,-37.3442,ibis Mossoro
255,Santa Isabel Do Rio Negro,BR,85.71,-0.4139,-65.0192,Hotel GSA
258,Yantzaza,EC,85.93,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
265,Ovalle,CL,78.28,-30.5983,-71.2003,Hotel Altos de Tuqui
266,Mayumba,GA,77.5,-3.432,10.6554,LIKWALE LODGE
267,Tual,ID,83.16,-5.6667,132.75,Grand Vilia Hotel
268,Bengkulu,ID,75.83,-3.8004,102.2655,Grage Hotel Bengkulu
269,Cabo San Lucas,MX,89.62,22.8909,-109.9124,Hotel Tesoro Los Cabos
278,Dicabisagan,PH,76.48,17.0818,122.4157,Nancy Montanes Bernardo
279,Marrakesh,MA,71.67,31.6315,-8.0083,Novotel Marrakech Hivernage
281,Guhagar,IN,78.3,17.4842,73.1929,Hotel Seawinds
282,Bireun,ID,76.8,5.203,96.7009,Rumah Bp.AR. ISMAIL
283,Montepuez,MZ,75.31,-13.1256,38.9997,PembaAparthotel
284,Saucillo,MX,82.53,28.0167,-105.2833,Hotel La Posada de San Judas Tadeo
287,Camopi,GF,81.45,3.1655,-52.3158,La pousada
289,Padang,ID,77.47,-0.9492,100.3543,Mercure Padang
290,Mount Isa,AU,74.97,-20.7333,139.5,ibis Styles Mt Isa Verona
291,Rio Grande,BR,77.11,-32.035,-52.0986,Hotel Atlântico Rio Grande
293,Porto Novo,BJ,80.04,6.4965,2.6036,Tour Eiffel Hotel Benin
296,San Ramon,US,71.65,37.7799,-121.978,San Ramon Marriott
298,Kiunga,PG,72.12,-6.1219,141.2906,Airport Lodge Kiunga
299,Fomboni,KM,78.31,-12.28,43.7425,Auberge les abou
301,Cabedelo,BR,81.27,-6.9811,-34.8339,Hotel Pigalle
302,Belmonte,BR,79.3,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
307,Doha,QA,82.29,25.2867,51.5333,Movenpick Hotel Doha
308,Salta,AR,89.89,-24.7859,-65.4117,Hotel Alejandro I
309,Olinda,BR,80.33,-8.0089,-34.8553,Hotel Albergue de Olinda
315,Kupang,ID,79.47,-10.1667,123.5833,Hotel On The Rock by Prasanthi
316,Rawah,IQ,75.96,34.4816,41.9093,ديوان الشيخ نامق محسن الراوي
321,Buala,SB,81.07,-8.145,159.5921,Maringe Lagoon Lodge
322,Binga,ZW,78.6,-17.6203,27.3414,Lakeview Inn Binga
326,Sola,VU,81.1,-13.8833,167.55,Leumerus Bungalows
327,Saint-Joseph,RE,70.16,-21.3667,55.6167,"""Plantation Bed and Breakfast"
328,Waingapu,ID,80.78,-9.6567,120.2641,Pondok Wisata Elim
334,Ojinaga,MX,86.58,29.5667,-104.4167,Suites Las Palmas
335,Tarakan,ID,79.47,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
336,San Cristobal,VE,77.18,7.7669,-72.225,Posada Villaven C.A.
338,Tabuk,PH,70.12,17.4189,121.4443,Golden Berries Hotel and Convention
343,Entre Rios,BR,78.48,-11.9419,-38.0844,Jambalaya Pousada
350,Praia Da Vitoria,PT,71.85,38.7333,-27.0667,Hotel Branco I
353,Bartica,GY,80.92,6.4,-58.6167,Sloth Island Nature Resort
366,Mahina,PF,82.17,-17.5065,-149.489,Guest Beach Bungalow Tahiti
368,Lubbock,US,85.37,33.6001,-101.8338,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
369,Marsh Harbour,BS,81.16,26.5412,-77.0636,Abaco Beach Resort
375,Grand Gaube,MU,72.0,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
376,Sao Filipe,CV,79.86,14.8961,-24.4956,Hotel Xaguate
381,Iberia,US,71.6,29.9502,-91.7507,back to back rv park
384,Ailigandi,PA,82.06,9.2333,-78.0167,Akwa Reef Lodge
388,Port-Gentil,GA,80.56,-0.7193,8.7815,Fengshui Residence
393,Kapit,MY,74.14,2.0167,112.9333,Hotel Meligai Kapit
394,Poum,NC,74.86,-20.2333,164.0167,Gîte kajeon
