City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Port Hardy,CA,2021-10-26 09:40:22,50.6996,-127.4199,50.0,87,75,6.91
90,Talnakh,RU,2021-10-26 09:40:22,69.4865,88.3972,9.66,97,96,5.95
91,Hukuntsi,BW,2021-10-26 09:40:22,-24.0,21.75,92.26,12,0,9.98
92,Bambous Virieux,MU,2021-10-26 09:40:23,-20.3428,57.7575,79.21,65,75,16.11
93,Carai,BR,2021-10-26 09:40:23,-17.1889,-41.6947,67.1,98,100,3.76
94,Kavieng,PG,2021-10-26 09:40:23,-2.5744,150.7967,82.26,74,100,7.05
95,Mankachar,IN,2021-10-26 09:40:24,25.5333,89.8667,82.27,68,7,4.7
96,Paamiut,GL,2021-10-26 09:40:24,61.994,-49.6678,36.01,52,4,6.82
97,Biak,ID,2021-10-26 09:40:24,-0.9131,122.8766,80.29,78,29,4.88
98,Codrington,AU,2021-10-26 09:40:25,-38.2667,141.9667,53.62,77,88,9.28
99,Port Lincoln,AU,2021-10-26 09:40:25,-34.7333,135.8667,67.23,53,1,16.96
100,Puerto Escondido,MX,2021-10-26 09:40:26,15.85,-97.0667,78.4,85,62,4.16
101,Provideniya,RU,2021-10-26 09:40:27,64.3833,-173.3,13.73,84,44,5.7
102,Karratha,AU,2021-10-26 09:40:27,-20.7377,116.8463,84.22,35,0,19.42
103,Port Elizabeth,ZA,2021-10-26 09:40:28,-33.918,25.5701,75.09,73,40,17.27
104,Quepos,CR,2021-10-26 09:40:28,9.4236,-84.1652,80.53,87,94,2.95
105,Camacupa,AO,2021-10-26 09:40:28,-12.0167,17.4833,79.83,46,97,1.66
106,Save,BJ,2021-10-26 09:40:29,8.0425,2.486,84.74,66,100,5.14
107,Lanzhou,CN,2021-10-26 09:40:29,36.0564,103.7922,45.68,48,100,6.2
108,Cabo San Lucas,MX,2021-10-26 09:40:30,22.8909,-109.9124,70.14,82,4,13.8
109,Mataura,NZ,2021-10-26 09:40:30,-46.1927,168.8643,52.81,99,100,3.04
110,Cody,US,2021-10-26 09:40:30,44.5263,-109.0565,44.64,89,90,12.66
111,Puerto Rico,AR,2021-10-26 09:40:30,-26.796,-55.024,61.34,77,0,1.12
112,Saint George,US,2021-10-26 09:40:31,37.1041,-113.5841,52.27,86,90,1.99
113,Sal Rei,CV,2021-10-26 09:40:31,16.1833,-22.9167,79.0,78,75,13.8
114,Nantucket,US,2021-10-26 09:36:02,41.2835,-70.0995,66.31,89,1,17.27
115,Manakara,MG,2021-10-26 09:40:32,-22.1333,48.0167,82.78,57,73,12.73
116,Los Llanos De Aridane,ES,2021-10-26 09:40:32,28.6585,-17.9182,68.13,67,20,13.8
117,Sao Pedro Do Piaui,BR,2021-10-26 09:40:32,-5.9294,-42.7186,77.45,71,77,4.59
118,Bira,RU,2021-10-26 09:40:33,49.0,132.4667,43.83,78,75,2.19
119,Pacific Grove,US,2021-10-26 09:40:33,36.6177,-121.9166,52.57,91,0,1.01
120,Butaritari,KI,2021-10-26 09:40:34,3.0707,172.7902,82.67,75,25,16.33
121,Beloha,MG,2021-10-26 09:40:34,-25.1667,45.05,101.34,20,41,6.8
122,Xuddur,SO,2021-10-26 09:40:34,4.1213,43.8894,89.96,38,37,6.44
123,Saldanha,ZA,2021-10-26 09:40:35,-33.0117,17.9442,86.05,52,98,9.84
124,Blagoyevo,RU,2021-10-26 09:40:35,63.3667,47.9167,30.52,70,97,6.31
125,Grove City,US,2021-10-26 09:38:17,39.8815,-83.093,48.31,92,90,3.0
126,Agirish,RU,2021-10-26 09:40:36,61.9247,63.0231,27.86,55,50,8.59
127,Peddapuram,IN,2021-10-26 09:40:36,17.0833,82.1333,93.29,58,12,2.66
128,Alofi,NU,2021-10-26 09:40:37,-19.0595,-169.9187,69.69,88,6,3.44
129,Erbaa,TR,2021-10-26 09:40:37,40.6689,36.5675,57.29,54,26,2.68
130,Hamilton,US,2021-10-26 09:40:06,39.1834,-84.5333,49.44,82,90,5.01
131,Neftcala,AZ,2021-10-26 09:40:38,39.3742,49.2472,51.94,70,100,13.71
132,Am Timan,TD,2021-10-26 09:40:38,11.0297,20.2827,95.09,34,60,2.8
133,Dubuque,US,2021-10-26 09:38:09,42.4833,-90.8668,38.55,80,1,9.22
134,Mount Isa,AU,2021-10-26 09:40:39,-20.7333,139.5,91.17,22,53,5.75
135,Castro,BR,2021-10-26 09:40:39,-24.7911,-50.0119,57.54,93,89,3.0
136,Reading,GB,2021-10-26 09:40:40,51.4562,-0.9711,56.25,92,90,1.99
137,Grindavik,IS,2021-10-26 09:40:40,63.8424,-22.4338,40.95,81,0,23.02
138,Xuzhou,CN,2021-10-26 09:40:40,34.1805,117.1571,65.08,53,100,0.63
139,Avarua,CK,2021-10-26 09:40:41,-21.2078,-159.775,71.65,68,92,4.61
140,Belaya Gora,RU,2021-10-26 09:40:41,68.5333,146.4167,-7.2,100,73,2.53
141,Kaitangata,NZ,2021-10-26 09:40:41,-46.2817,169.8464,51.06,97,99,1.21
142,Tuatapere,NZ,2021-10-26 09:40:42,-46.1333,167.6833,53.24,97,99,0.43
143,Borovichi,RU,2021-10-26 09:40:43,58.3878,33.9155,41.0,76,99,9.46
144,Tiksi,RU,2021-10-26 09:40:43,71.6872,128.8694,8.51,95,100,2.95
145,Neos Marmaras,GR,2021-10-26 09:40:43,40.1,23.7833,59.4,53,1,9.51
146,Palaia Fokaia,GR,2021-10-26 09:40:44,37.72,23.9463,65.97,60,35,25.37
147,Katsuura,JP,2021-10-26 09:40:44,35.1333,140.3,64.51,78,2,8.88
148,San Patricio,US,2021-10-26 09:40:44,28.017,-97.5169,80.89,92,98,7.76
149,Abonnema,NG,2021-10-26 09:40:45,4.7084,6.7931,80.69,74,100,4.9
