City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Montepuez,MZ,2021-10-30 20:23:31,-13.1256,38.9997,75.31,62,51,9.17
284,Saucillo,MX,2021-10-30 20:23:32,28.0167,-105.2833,82.53,14,0,5.26
285,Mount Pleasant,US,2021-10-30 20:23:32,32.7941,-79.8626,64.09,73,90,3.0
286,Havelock,US,2021-10-30 20:23:21,34.8791,-76.9013,68.05,65,52,7.0
287,Camopi,GF,2021-10-30 20:23:33,3.1655,-52.3158,81.45,74,72,4.63
288,Whitefish,US,2021-10-30 20:21:58,48.4111,-114.3376,44.35,60,1,9.22
289,Padang,ID,2021-10-30 20:23:33,-0.9492,100.3543,77.47,90,100,3.71
290,Mount Isa,AU,2021-10-30 20:23:34,-20.7333,139.5,74.97,23,75,10.36
291,Rio Grande,BR,2021-10-30 20:23:34,-32.035,-52.0986,77.11,79,88,19.44
292,Brae,GB,2021-10-30 20:23:34,60.3964,-1.353,48.11,92,100,8.46
293,Porto Novo,BJ,2021-10-30 20:22:12,6.4965,2.6036,80.04,84,100,6.11
